,age,job,marital_status,education,default,balance,housing_loan,personal_loan,contact_channel,last_contact_day,last_contact_month,contact_duration,campaign,gap_between_campaigns,previous,outcome_previous_campaign,insurance_subscribe
18,43,management,married,tertiary,no,2767.0,yes,no,cellular,17.0,nov,374.0,1.0,186.0,7.0,failure,0.0
19,35,technician,married,tertiary,no,3160.0,yes,no,cellular,16.0,nov,445.0,2.0,95.0,1.0,failure,1.0
20,40,management,married,tertiary,no,1584.0,yes,no,telephone,21.0,nov,661.0,1.0,-1.0,0.0,unknown,0.0
21,37,housemaid,single,tertiary,no,561.0,no,no,cellular,18.0,nov,188.0,1.0,165.0,2.0,failure,0.0
22,43,services,married,secondary,no,3305.0,yes,no,cellular,17.0,nov,387.0,1.0,-1.0,0.0,unknown,0.0
23,59,blue-collar,married,secondary,no,0.0,yes,no,unknown,20.0,may,217.0,4.0,-1.0,0.0,unknown,0.0
24,35,services,married,tertiary,no,0.0,yes,no,unknown,2.0,jun,312.0,2.0,-1.0,0.0,unknown,0.0
25,60,retired,married,secondary,no,-222.0,no,no,cellular,17.0,jul,82.0,2.0,-1.0,0.0,unknown,0.0
26,45,services,single,secondary,no,1757.0,yes,no,cellular,20.0,apr,1010.0,3.0,326.0,1.0,other,0.0
27,40,services,married,secondary,no,56.0,yes,no,cellular,12.0,may,700.0,3.0,-1.0,0.0,unknown,0.0
28,45,technician,married,secondary,no,3007.0,no,no,unknown,11.0,jun,442.0,1.0,-1.0,0.0,unknown,0.0
29,24,admin.,married,secondary,no,61.0,yes,yes,cellular,7.0,may,278.0,1.0,343.0,2.0,other,0.0
30,44,blue-collar,married,primary,no,3113.0,no,no,cellular,14.0,jul,331.0,2.0,-1.0,0.0,unknown,0.0
31,42,admin.,divorced,secondary,no,1811.0,yes,no,unknown,14.0,may,150.0,1.0,-1.0,0.0,unknown,0.0
32,49,management,married,primary,no,3371.0,no,no,cellular,11.0,nov,269.0,2.0,-1.0,0.0,unknown,1.0
33,52,blue-collar,single,primary,no,210.0,yes,no,unknown,12.0,may,154.0,1.0,-1.0,0.0,unknown,0.0
34,44,admin.,single,secondary,no,946.0,yes,no,unknown,30.0,may,181.0,4.0,-1.0,0.0,unknown,0.0
35,54,services,single,secondary,no,0.0,no,no,cellular,23.0,sep,209.0,1.0,-1.0,0.0,unknown,1.0
36,34,blue-collar,single,secondary,no,47.0,yes,no,cellular,14.0,apr,232.0,1.0,147.0,2.0,failure,0.0
37,39,blue-collar,married,secondary,no,483.0,yes,no,unknown,5.0,may,282.0,1.0,-1.0,0.0,unknown,0.0
38,40,technician,married,secondary,no,-496.0,no,no,telephone,28.0,jul,22.0,2.0,-1.0,0.0,unknown,0.0
39,58,blue-collar,married,secondary,no,544.0,no,no,unknown,17.0,jun,97.0,1.0,-1.0,0.0,unknown,0.0
40,38,management,married,tertiary,no,12855.0,yes,no,unknown,30.0,may,417.0,1.0,-1.0,0.0,unknown,0.0
41,51,services,married,tertiary,no,218.0,yes,no,cellular,7.0,may,154.0,3.0,363.0,2.0,failure,0.0
42,45,blue-collar,married,secondary,no,22928.0,no,no,unknown,6.0,jun,113.0,1.0,-1.0,0.0,unknown,0.0
43,62,retired,married,secondary,no,2801.0,yes,yes,cellular,9.0,sep,261.0,1.0,183.0,1.0,success,1.0
44,39,technician,single,tertiary,no,1646.0,yes,no,unknown,5.0,jun,474.0,2.0,-1.0,0.0,unknown,0.0
45,51,technician,married,secondary,no,100.0,no,no,cellular,2.0,feb,467.0,2.0,-1.0,0.0,unknown,1.0
46,33,technician,married,secondary,no,884.0,yes,no,unknown,23.0,may,271.0,1.0,-1.0,0.0,unknown,0.0
47,31,admin.,single,secondary,no,1374.0,yes,no,cellular,18.0,may,290.0,2.0,370.0,1.0,failure,0.0
48,59,admin.,married,secondary,no,2343.0,yes,no,unknown,5.0,may,1042.0,1.0,-1.0,0.0,unknown,1.0
49,33,blue-collar,single,secondary,no,13494.0,yes,no,unknown,20.0,jun,27.0,25.0,-1.0,0.0,unknown,0.0
50,45,blue-collar,married,primary,no,101.0,yes,no,unknown,12.0,may,460.0,5.0,-1.0,0.0,unknown,1.0
51,46,unknown,married,unknown,no,2911.0,no,no,telephone,7.0,jul,41.0,9.0,-1.0,0.0,unknown,0.0
52,53,blue-collar,divorced,primary,no,235.0,no,no,cellular,30.0,jul,241.0,2.0,-1.0,0.0,unknown,0.0
53,48,admin.,married,tertiary,no,1015.0,no,yes,telephone,30.0,jul,100.0,3.0,-1.0,0.0,unknown,0.0
54,42,housemaid,divorced,primary,no,273.0,no,no,cellular,21.0,apr,354.0,1.0,-1.0,0.0,unknown,0.0
55,53,technician,married,secondary,no,0.0,no,no,cellular,22.0,aug,77.0,9.0,-1.0,0.0,unknown,0.0
56,45,services,married,primary,no,7811.0,no,no,unknown,16.0,jun,143.0,2.0,-1.0,0.0,unknown,0.0
57,38,technician,married,tertiary,no,447.0,yes,no,cellular,2.0,feb,224.0,1.0,269.0,1.0,failure,0.0
58,61,technician,married,secondary,no,50.0,yes,no,cellular,22.0,jul,213.0,5.0,-1.0,0.0,unknown,0.0
59,59,management,divorced,tertiary,no,893.0,yes,no,cellular,16.0,apr,206.0,4.0,-1.0,0.0,unknown,0.0
60,57,management,married,tertiary,no,1631.0,yes,no,cellular,2.0,apr,254.0,2.0,261.0,3.0,failure,0.0
61,30,management,married,tertiary,no,1418.0,yes,yes,cellular,13.0,apr,185.0,2.0,-1.0,0.0,unknown,0.0
62,32,services,married,secondary,no,15.0,yes,no,cellular,15.0,may,391.0,1.0,-1.0,0.0,unknown,0.0
63,44,technician,single,secondary,no,7138.0,no,no,cellular,8.0,aug,809.0,2.0,-1.0,0.0,unknown,1.0
64,31,blue-collar,married,primary,no,951.0,yes,no,cellular,13.0,may,206.0,1.0,-1.0,0.0,unknown,0.0
65,35,blue-collar,married,tertiary,no,1016.0,yes,no,cellular,17.0,jul,294.0,2.0,-1.0,0.0,unknown,0.0
66,39,admin.,married,secondary,no,-982.0,yes,yes,cellular,19.0,nov,287.0,3.0,117.0,2.0,other,0.0
67,37,services,married,secondary,no,775.0,no,yes,cellular,25.0,jul,1000.0,1.0,-1.0,0.0,unknown,1.0
68,27,student,single,tertiary,no,1134.0,no,no,cellular,21.0,oct,825.0,1.0,183.0,4.0,success,1.0
69,41,technician,married,unknown,no,-1136.0,yes,yes,unknown,4.0,jun,89.0,1.0,-1.0,0.0,unknown,0.0
70,26,blue-collar,married,secondary,no,-384.0,yes,yes,cellular,18.0,jul,143.0,1.0,-1.0,0.0,unknown,0.0
71,38,entrepreneur,married,secondary,no,680.0,yes,no,unknown,19.0,may,144.0,2.0,-1.0,0.0,unknown,0.0
72,39,entrepreneur,married,secondary,no,11887.0,no,no,cellular,18.0,nov,1181.0,2.0,-1.0,0.0,unknown,1.0
73,31,blue-collar,married,primary,no,-537.0,yes,yes,cellular,21.0,jul,1039.0,7.0,-1.0,0.0,unknown,1.0
74,74,retired,married,tertiary,no,4912.0,no,no,telephone,20.0,apr,268.0,2.0,181.0,3.0,failure,0.0
75,24,admin.,single,secondary,no,5.0,no,no,cellular,7.0,apr,66.0,1.0,330.0,1.0,failure,0.0
76,51,admin.,married,secondary,yes,-160.0,no,yes,cellular,30.0,jul,118.0,4.0,-1.0,0.0,unknown,0.0
77,43,management,married,tertiary,no,-526.0,no,no,cellular,12.0,aug,603.0,2.0,-1.0,0.0,unknown,0.0
78,40,management,married,tertiary,no,429.0,yes,no,cellular,6.0,may,222.0,2.0,363.0,4.0,failure,0.0
79,28,blue-collar,single,secondary,no,5149.0,yes,no,unknown,2.0,jun,232.0,3.0,-1.0,0.0,unknown,0.0
80,32,technician,married,secondary,no,782.0,yes,no,unknown,26.0,may,116.0,4.0,-1.0,0.0,unknown,0.0
81,38,blue-collar,married,primary,no,558.0,yes,no,cellular,6.0,feb,427.0,3.0,-1.0,0.0,unknown,0.0
82,56,housemaid,married,primary,no,82.0,no,no,unknown,16.0,may,215.0,1.0,-1.0,0.0,unknown,0.0
83,25,technician,single,secondary,no,1105.0,yes,no,cellular,30.0,apr,195.0,1.0,13.0,1.0,failure,0.0
84,25,management,single,tertiary,no,6246.0,no,no,cellular,9.0,jun,98.0,3.0,-1.0,0.0,unknown,0.0
85,26,admin.,single,secondary,no,1200.0,no,no,cellular,29.0,jan,232.0,3.0,-1.0,0.0,unknown,0.0
86,37,technician,married,secondary,no,3043.0,no,no,cellular,11.0,aug,123.0,4.0,-1.0,0.0,unknown,0.0
87,31,management,single,tertiary,no,358.0,yes,no,cellular,30.0,jan,68.0,3.0,256.0,51.0,failure,0.0
88,55,management,married,unknown,no,831.0,yes,yes,telephone,27.0,jan,100.0,1.0,100.0,6.0,failure,0.0
89,34,blue-collar,single,primary,no,279.0,yes,no,cellular,7.0,may,208.0,1.0,357.0,1.0,failure,0.0
90,37,blue-collar,married,primary,no,1455.0,yes,no,unknown,21.0,may,165.0,2.0,-1.0,0.0,unknown,0.0
91,47,technician,divorced,secondary,no,1013.0,no,no,cellular,15.0,jun,54.0,3.0,-1.0,0.0,unknown,0.0
92,46,blue-collar,married,primary,no,0.0,yes,no,unknown,12.0,may,51.0,9.0,-1.0,0.0,unknown,0.0
93,51,services,divorced,secondary,no,135.0,yes,yes,cellular,17.0,nov,862.0,1.0,-1.0,0.0,unknown,0.0
94,53,services,married,secondary,no,514.0,yes,no,cellular,31.0,jul,10.0,3.0,-1.0,0.0,unknown,0.0
95,44,technician,divorced,secondary,no,982.0,yes,no,unknown,20.0,may,650.0,3.0,-1.0,0.0,unknown,1.0
96,49,management,married,tertiary,no,489.0,yes,no,cellular,6.0,may,65.0,1.0,358.0,1.0,failure,0.0
97,55,management,married,tertiary,no,0.0,no,no,unknown,30.0,jun,111.0,2.0,-1.0,0.0,unknown,0.0
98,29,admin.,single,tertiary,no,135.0,no,no,cellular,7.0,dec,248.0,1.0,-1.0,0.0,unknown,0.0
99,44,blue-collar,single,secondary,no,492.0,no,yes,cellular,12.0,may,209.0,2.0,351.0,3.0,other,0.0
100,41,technician,single,primary,no,340.0,yes,no,cellular,13.0,may,262.0,1.0,349.0,1.0,failure,0.0
101,47,management,married,tertiary,yes,-337.0,no,yes,cellular,29.0,jan,243.0,4.0,161.0,2.0,failure,0.0
102,36,technician,married,secondary,no,2473.0,no,no,cellular,28.0,aug,965.0,4.0,-1.0,0.0,unknown,1.0
103,41,housemaid,divorced,primary,no,22.0,yes,no,cellular,18.0,nov,238.0,3.0,126.0,4.0,other,0.0
104,43,management,married,tertiary,no,2759.0,yes,yes,cellular,8.0,aug,329.0,2.0,-1.0,0.0,unknown,0.0
105,42,blue-collar,married,primary,no,-119.0,yes,no,cellular,22.0,jul,167.0,3.0,-1.0,0.0,unknown,0.0
106,32,technician,single,tertiary,no,127.0,yes,no,cellular,27.0,aug,20.0,17.0,-1.0,0.0,unknown,0.0
107,52,admin.,married,secondary,no,1933.0,yes,no,unknown,21.0,may,153.0,4.0,-1.0,0.0,unknown,0.0
108,20,student,single,primary,no,0.0,no,no,cellular,2.0,nov,69.0,4.0,182.0,4.0,failure,0.0
109,47,blue-collar,married,secondary,no,327.0,yes,no,cellular,16.0,apr,352.0,1.0,-1.0,0.0,unknown,0.0
110,57,housemaid,married,secondary,no,0.0,no,no,cellular,22.0,aug,197.0,2.0,-1.0,0.0,unknown,0.0
111,49,retired,divorced,secondary,no,-268.0,yes,no,cellular,6.0,feb,42.0,2.0,206.0,5.0,failure,0.0
112,32,technician,single,secondary,no,2341.0,yes,no,cellular,18.0,jul,243.0,1.0,-1.0,0.0,unknown,0.0
113,25,technician,single,secondary,no,218.0,yes,yes,cellular,28.0,jul,110.0,4.0,-1.0,0.0,unknown,0.0
114,40,blue-collar,married,primary,no,343.0,no,no,unknown,6.0,jun,292.0,2.0,-1.0,0.0,unknown,0.0
115,44,management,married,tertiary,no,1590.0,yes,yes,cellular,21.0,jul,54.0,8.0,-1.0,0.0,unknown,0.0
116,27,services,married,secondary,no,1303.0,yes,yes,unknown,21.0,may,364.0,1.0,-1.0,0.0,unknown,0.0
117,42,management,married,tertiary,no,1680.0,yes,no,unknown,6.0,may,765.0,1.0,-1.0,0.0,unknown,0.0
118,52,entrepreneur,married,tertiary,no,0.0,no,no,unknown,19.0,jun,163.0,3.0,-1.0,0.0,unknown,0.0
119,30,technician,single,tertiary,no,411.0,no,no,cellular,26.0,may,111.0,1.0,35.0,1.0,failure,0.0
120,55,technician,married,tertiary,no,199.0,no,no,cellular,11.0,aug,151.0,1.0,-1.0,0.0,unknown,0.0
121,55,blue-collar,married,secondary,no,5443.0,no,yes,cellular,5.0,aug,264.0,2.0,-1.0,0.0,unknown,0.0
122,43,management,married,unknown,no,498.0,yes,no,unknown,2.0,jun,73.0,5.0,-1.0,0.0,unknown,0.0
123,37,admin.,divorced,tertiary,no,195.0,yes,no,cellular,29.0,jan,39.0,1.0,-1.0,0.0,unknown,0.0
124,48,management,divorced,tertiary,no,108.0,yes,no,unknown,27.0,may,89.0,2.0,-1.0,0.0,unknown,0.0
125,34,technician,married,secondary,no,563.0,yes,yes,cellular,29.0,aug,32.0,15.0,-1.0,0.0,unknown,0.0
126,49,entrepreneur,divorced,tertiary,no,1342.0,yes,yes,cellular,7.0,apr,253.0,1.0,140.0,1.0,failure,0.0
127,71,retired,married,secondary,no,5715.0,no,no,cellular,17.0,nov,747.0,2.0,-1.0,0.0,unknown,1.0
128,35,admin.,single,secondary,no,663.0,yes,no,cellular,2.0,apr,359.0,3.0,-1.0,0.0,unknown,0.0
129,52,blue-collar,married,unknown,no,51.0,no,no,cellular,14.0,aug,935.0,2.0,-1.0,0.0,unknown,0.0
130,35,unemployed,single,tertiary,no,415.0,no,no,cellular,4.0,may,164.0,2.0,89.0,2.0,success,1.0
131,34,technician,divorced,secondary,no,592.0,yes,no,cellular,7.0,may,67.0,3.0,-1.0,0.0,unknown,0.0
132,56,management,married,tertiary,no,23.0,yes,no,cellular,16.0,jul,156.0,2.0,-1.0,0.0,unknown,0.0
133,47,management,married,tertiary,no,1105.0,no,no,unknown,20.0,jun,180.0,6.0,-1.0,0.0,unknown,0.0
134,47,admin.,married,unknown,no,989.0,no,no,unknown,19.0,jun,116.0,1.0,-1.0,0.0,unknown,0.0
135,67,retired,married,primary,no,8465.0,no,no,cellular,26.0,feb,234.0,1.0,-1.0,0.0,unknown,0.0
136,25,student,single,secondary,no,1765.0,yes,no,unknown,23.0,may,135.0,2.0,-1.0,0.0,unknown,0.0
137,46,unemployed,single,secondary,no,2052.0,no,no,cellular,30.0,jan,428.0,1.0,-1.0,0.0,unknown,0.0
138,40,technician,married,secondary,no,500.0,yes,no,cellular,17.0,jul,175.0,3.0,-1.0,0.0,unknown,0.0
139,44,management,married,tertiary,no,38.0,yes,no,telephone,16.0,apr,201.0,2.0,330.0,8.0,other,0.0
140,38,self-employed,married,unknown,no,10855.0,no,no,unknown,5.0,jun,57.0,2.0,-1.0,0.0,unknown,0.0
141,33,technician,divorced,secondary,yes,10.0,yes,yes,cellular,18.0,nov,167.0,5.0,-1.0,0.0,unknown,0.0
142,33,management,single,tertiary,no,-2.0,no,yes,cellular,25.0,aug,147.0,6.0,-1.0,0.0,unknown,0.0
143,37,management,single,tertiary,no,808.0,no,no,cellular,5.0,may,29.0,4.0,349.0,1.0,failure,0.0
144,51,blue-collar,married,unknown,no,1432.0,no,no,cellular,9.0,jul,388.0,1.0,-1.0,0.0,unknown,0.0
145,36,admin.,divorced,secondary,no,356.0,yes,no,cellular,7.0,apr,244.0,3.0,313.0,1.0,failure,0.0
146,47,housemaid,divorced,primary,no,1405.0,no,no,unknown,12.0,jun,127.0,1.0,-1.0,0.0,unknown,0.0
147,31,management,married,tertiary,no,35.0,yes,yes,cellular,19.0,nov,323.0,2.0,-1.0,0.0,unknown,0.0
148,43,management,divorced,tertiary,no,0.0,yes,no,unknown,8.0,may,123.0,2.0,-1.0,0.0,unknown,0.0
149,30,management,married,tertiary,no,1384.0,yes,no,telephone,14.0,aug,60.0,2.0,-1.0,0.0,unknown,0.0
150,50,blue-collar,divorced,secondary,no,-54.0,no,no,cellular,24.0,jul,513.0,3.0,-1.0,0.0,unknown,0.0
151,70,retired,divorced,primary,no,383.0,no,no,cellular,28.0,apr,50.0,2.0,-1.0,0.0,unknown,0.0
152,31,management,single,tertiary,no,37.0,no,no,cellular,8.0,aug,669.0,2.0,-1.0,0.0,unknown,1.0
153,41,services,married,secondary,no,841.0,yes,no,cellular,7.0,jul,250.0,2.0,-1.0,0.0,unknown,0.0
154,32,blue-collar,married,secondary,no,476.0,yes,no,cellular,23.0,jul,956.0,9.0,-1.0,0.0,unknown,1.0
155,40,services,single,secondary,no,4126.0,no,no,cellular,4.0,feb,671.0,2.0,-1.0,0.0,unknown,0.0
156,50,technician,married,secondary,no,-70.0,no,no,cellular,6.0,aug,386.0,2.0,-1.0,0.0,unknown,0.0
157,40,technician,married,unknown,no,0.0,no,yes,cellular,7.0,jul,161.0,1.0,-1.0,0.0,unknown,0.0
158,34,admin.,divorced,primary,no,9569.0,yes,no,unknown,9.0,may,43.0,2.0,-1.0,0.0,unknown,0.0
159,35,management,single,tertiary,no,-146.0,yes,no,cellular,14.0,may,279.0,1.0,266.0,1.0,failure,0.0
160,35,management,married,tertiary,no,451.0,yes,no,cellular,17.0,apr,220.0,6.0,-1.0,0.0,unknown,0.0
161,40,technician,single,tertiary,no,47.0,yes,no,cellular,5.0,may,159.0,1.0,365.0,1.0,failure,0.0
162,43,services,single,secondary,no,-63.0,yes,no,cellular,18.0,may,92.0,3.0,374.0,1.0,other,0.0
163,49,technician,married,secondary,no,652.0,no,no,cellular,17.0,nov,198.0,2.0,-1.0,0.0,unknown,0.0
164,31,technician,single,secondary,no,2916.0,no,no,cellular,14.0,aug,174.0,2.0,-1.0,0.0,unknown,0.0
165,48,unknown,married,unknown,no,286.0,no,no,cellular,30.0,jul,166.0,2.0,-1.0,0.0,unknown,0.0
166,34,technician,married,secondary,no,652.0,yes,yes,cellular,18.0,jul,50.0,4.0,-1.0,0.0,unknown,0.0
167,39,management,married,tertiary,no,429.0,yes,no,unknown,8.0,may,272.0,4.0,-1.0,0.0,unknown,0.0
168,57,retired,married,secondary,no,2020.0,no,no,unknown,19.0,jun,93.0,4.0,-1.0,0.0,unknown,0.0
169,26,services,single,secondary,no,186.0,yes,no,unknown,21.0,may,72.0,3.0,-1.0,0.0,unknown,0.0
170,38,management,married,tertiary,no,-239.0,yes,no,unknown,2.0,jun,221.0,2.0,-1.0,0.0,unknown,0.0
171,30,technician,married,secondary,no,24.0,yes,no,cellular,18.0,jul,112.0,3.0,-1.0,0.0,unknown,0.0
172,49,blue-collar,married,secondary,no,1219.0,yes,no,cellular,26.0,aug,168.0,5.0,-1.0,0.0,unknown,0.0
173,38,technician,single,secondary,no,1211.0,yes,no,cellular,14.0,may,498.0,1.0,358.0,1.0,success,0.0
174,55,retired,married,secondary,no,143.0,yes,no,unknown,6.0,may,42.0,3.0,-1.0,0.0,unknown,0.0
175,35,technician,single,secondary,no,634.0,yes,no,cellular,29.0,aug,122.0,2.0,-1.0,0.0,unknown,0.0
176,33,blue-collar,married,secondary,no,372.0,yes,no,unknown,6.0,may,132.0,2.0,-1.0,0.0,unknown,0.0
177,39,technician,single,secondary,no,283.0,yes,no,cellular,11.0,may,369.0,2.0,350.0,1.0,failure,0.0
178,47,technician,married,tertiary,no,-744.0,yes,yes,cellular,20.0,nov,1256.0,1.0,-1.0,0.0,unknown,0.0
179,35,management,single,secondary,no,0.0,no,no,cellular,21.0,aug,163.0,1.0,-1.0,0.0,unknown,0.0
180,31,blue-collar,married,secondary,no,3298.0,yes,no,unknown,21.0,may,175.0,2.0,-1.0,0.0,unknown,0.0
181,25,services,single,secondary,no,199.0,no,no,cellular,15.0,feb,101.0,2.0,-1.0,0.0,unknown,0.0
182,37,technician,single,tertiary,no,453.0,no,no,cellular,18.0,aug,129.0,4.0,-1.0,0.0,unknown,0.0
183,35,blue-collar,married,secondary,no,4723.0,yes,no,unknown,16.0,jun,57.0,8.0,-1.0,0.0,unknown,0.0
184,34,management,married,tertiary,no,0.0,no,no,cellular,15.0,apr,125.0,2.0,-1.0,0.0,unknown,0.0
185,32,services,married,secondary,no,2196.0,yes,no,cellular,21.0,jul,1156.0,1.0,-1.0,0.0,unknown,0.0
186,43,management,married,tertiary,no,0.0,yes,no,cellular,5.0,feb,280.0,2.0,-1.0,0.0,unknown,0.0
187,43,technician,married,primary,no,2309.0,yes,no,cellular,22.0,jul,578.0,1.0,-1.0,0.0,unknown,0.0
188,51,admin.,single,secondary,no,2130.0,yes,no,telephone,28.0,jul,126.0,8.0,-1.0,0.0,unknown,0.0
189,39,admin.,married,secondary,no,973.0,yes,no,cellular,2.0,sep,172.0,4.0,-1.0,0.0,unknown,0.0
190,60,retired,married,tertiary,no,161.0,yes,no,cellular,21.0,jul,153.0,3.0,-1.0,0.0,unknown,0.0
191,27,technician,single,secondary,no,1996.0,yes,no,cellular,5.0,may,345.0,1.0,-1.0,0.0,unknown,0.0
192,45,services,divorced,secondary,no,1381.0,no,no,unknown,19.0,jun,653.0,2.0,-1.0,0.0,unknown,0.0
193,40,services,married,secondary,no,884.0,no,no,cellular,15.0,jul,166.0,4.0,-1.0,0.0,unknown,0.0
194,40,management,married,secondary,no,-240.0,no,yes,unknown,28.0,may,160.0,3.0,-1.0,0.0,unknown,0.0
195,46,technician,married,secondary,no,159.0,no,yes,cellular,11.0,aug,139.0,4.0,-1.0,0.0,unknown,0.0
196,41,blue-collar,married,primary,no,17.0,no,no,cellular,8.0,jul,117.0,3.0,-1.0,0.0,unknown,0.0
197,31,admin.,married,secondary,no,0.0,yes,no,unknown,14.0,may,40.0,2.0,-1.0,0.0,unknown,0.0
198,37,management,married,tertiary,no,4089.0,yes,no,cellular,2.0,feb,289.0,2.0,174.0,4.0,other,1.0
199,27,management,single,tertiary,no,317.0,no,no,cellular,9.0,feb,59.0,3.0,-1.0,0.0,unknown,0.0
200,31,management,married,tertiary,no,557.0,yes,no,cellular,18.0,jul,111.0,1.0,-1.0,0.0,unknown,0.0
201,69,retired,married,secondary,no,0.0,no,no,cellular,27.0,jul,666.0,1.0,90.0,4.0,success,1.0
202,31,management,single,secondary,no,1310.0,yes,no,cellular,18.0,may,12.0,2.0,-1.0,0.0,unknown,0.0
203,24,management,single,tertiary,no,1004.0,yes,no,cellular,5.0,jun,133.0,1.0,67.0,2.0,failure,0.0
204,29,management,single,tertiary,no,475.0,no,no,cellular,29.0,jan,346.0,2.0,-1.0,0.0,unknown,0.0
205,57,admin.,divorced,secondary,no,0.0,no,no,cellular,9.0,sep,121.0,2.0,-1.0,0.0,unknown,0.0
206,44,technician,married,secondary,no,1139.0,yes,no,cellular,30.0,jan,64.0,1.0,-1.0,0.0,unknown,0.0
207,29,admin.,single,secondary,no,719.0,no,no,cellular,30.0,apr,76.0,1.0,-1.0,0.0,unknown,0.0
208,26,services,single,tertiary,no,2803.0,no,no,cellular,3.0,feb,11.0,7.0,-1.0,0.0,unknown,0.0
209,46,management,divorced,tertiary,no,4629.0,no,no,cellular,1.0,jun,67.0,1.0,41.0,1.0,failure,0.0
210,48,services,single,primary,no,204.0,yes,no,cellular,22.0,jul,134.0,1.0,-1.0,0.0,unknown,0.0
211,48,management,married,primary,no,1910.0,yes,no,unknown,29.0,may,413.0,2.0,-1.0,0.0,unknown,0.0
212,36,management,divorced,tertiary,yes,20.0,no,yes,unknown,24.0,jun,62.0,5.0,-1.0,0.0,unknown,0.0
213,27,technician,single,secondary,no,90.0,no,no,cellular,2.0,feb,82.0,3.0,-1.0,0.0,unknown,0.0
214,30,technician,married,tertiary,no,1045.0,no,no,cellular,11.0,aug,65.0,4.0,-1.0,0.0,unknown,0.0
215,50,services,single,secondary,no,72.0,no,no,unknown,8.0,may,141.0,2.0,-1.0,0.0,unknown,0.0
216,49,unemployed,married,secondary,no,4110.0,no,no,unknown,17.0,jun,50.0,2.0,-1.0,0.0,unknown,0.0
217,44,technician,married,secondary,no,227.0,yes,yes,cellular,8.0,may,364.0,1.0,262.0,2.0,failure,0.0
218,37,technician,married,secondary,no,3728.0,no,no,unknown,20.0,jun,55.0,4.0,-1.0,0.0,unknown,0.0
219,58,retired,married,primary,no,196.0,yes,no,unknown,19.0,may,35.0,1.0,-1.0,0.0,unknown,0.0
220,50,admin.,divorced,secondary,no,-458.0,yes,no,cellular,11.0,may,294.0,2.0,-1.0,0.0,unknown,0.0
221,37,technician,single,secondary,no,1127.0,yes,no,cellular,20.0,apr,249.0,2.0,-1.0,0.0,unknown,0.0
222,31,management,single,tertiary,no,34.0,yes,no,cellular,28.0,jul,127.0,4.0,-1.0,0.0,unknown,0.0
223,35,management,single,tertiary,no,5958.0,yes,no,cellular,22.0,mar,215.0,1.0,-1.0,0.0,unknown,1.0
224,48,management,married,secondary,no,36686.0,no,no,cellular,30.0,apr,295.0,1.0,-1.0,0.0,unknown,0.0
225,55,blue-collar,married,primary,no,1649.0,yes,no,cellular,12.0,may,52.0,3.0,-1.0,0.0,unknown,0.0
226,33,management,single,tertiary,no,2465.0,no,no,cellular,16.0,nov,139.0,2.0,95.0,1.0,success,0.0
227,38,technician,married,secondary,no,414.0,yes,no,cellular,5.0,may,147.0,1.0,-1.0,0.0,unknown,0.0
